Process,Function,Peak,ORF,YPD ,SGD ,Deletion,Known?,Description,Aggregate Score
unknown,similar to other subtelomerically-encoded proteins,G1,YGR296W,YGR296W,YGR296W,undocumented,New,Protein with similarity to other subtelomerically-encoded protein (YPL283 and YGR296W code for identical proteins),3.643
unknown,unknown,G1,YJL181W,YJL181W,YJL181W,undocumented,New,has similarity to Yjr030p,3.648
tRNA splicing,splicing endonuclease subunit,G1,YAR008W,SEN34,SEN34,lethal,New,"tRNA splicing endonuclease, gamma subunit, has active site for 3' slice site cleavage ",3.66
unknown,unknown,S,YDR355C,YDR355C,YDR355C,undocumented,New,Protein of unknown function ,3.671
unknown,similar to Spo12p,G2/M,YGR230W,YGR230W,YGR230W,undocumented,New,Protein with similarity to Spo12p ,3.674
unknown,similar to adenosine A1 receptors,M/G1,YOR263C,YOR263C,YOR263C,undocumented,New,novel; questionable ORF,3.69
unknown,unknown,G1,YBL113C,YBL113C,YBL113C,undocumented,New,Y' short ORF no intron,3.692
unknown,similar to other subtelomerically-encoded proteins,M/G1,YJL225C,YJL225C,YJL225C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.694
unknown,similar to other subtelomerically-encoded proteins,G1,YLL066C,YLL066C,YLL066C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.717
stress response,osmotolerance protein (putative),G1,YBR070C,SAT2,YBR070C,lethal,New,Protein involved in osmotolerance ,3.742
H+ homeostasis,plasma membrane H+-ATPase,G2/M,YPL036W,PMA2,PMA2,viable,New,H+-transporting P-type ATPase of the plasma membrane; almost identical to PMA1,3.777
unknown,unknown,G1,YCL023C,YCL023C,YCL023C,undocumented,New,Protein of unknown function ,3.792
unknown,unknown,G2/M,YAL022C,YAL022C,FUN26,viable,New,"weak similarity to Na+/H+ antiporter, has 11 potential transmembrane domains ",3.795
unknown,similar to other subtelomerically-coded proteins,M/G1,YLR463C,YLR463C,YLR463C,undocumented,New,Protein with similarity to other subtelomerically-encoded protein (YPL283 and YGR296W code for identical proteins),3.808
unknown,similar to cystathionine beta-lyase,S,YGL184C,YGL184C,YGL184C,undocumented,New,Protein with strong similarity to cystathionine beta-lyase ,3.813
unknown,similar to Bgl2p and other glucans (GB:Z49212),G1,YMR305C,YMR305C,YMR305C,undocumented,New,Protein with similarity to Bgl2p and other glucans,3.824
diepoxybutane and mitomycin C resistance,unknown,G1,YLL002W,KIM2,KIM2,undocumented,New,Protein involved in resistance to mutagens such as diepoxybutane and mitomycin C,3.831
unknown,unknown,G1,YOR320C,YOR320C,YOR320C,undocumented,New,Protein of unknown function ,3.85
phosphate metabolism,"acid phosphatase, repressible",G2/M,YBR093C,PHO5,PHO5,viable,New,acid phosphatase,3.862
mannose metabolism,mannose-6-phosphate isomerase,S,YER003C,PMI40,PMI40,lethal,New,"Mannose-6-phosphate isomerase, generates mannose-6-phosphate for synthesis of GDP-mannose and dolichol-phosphate-mannose ",3.868
unknown,unknown,G2/M,YGR035C,YGR035C,YGR035C,undocumented,New,Protein of unknown function ,3.874
unknown,similar to subtelomerically-encoded proteins,G1,YIL177C,YIL177C,YIL177C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.884
unknown,similar to subtelomerically-encoded proteins,G1,YER189W,YER189W,YER189W,undocumented,New,"Protein with similarity to subtelomerically-encoded proteins including Yil177p, Yhl049p, and Yjl225p ",3.922
nucleotide metabolism,nucleoside diphosphate kinase,G1,YKL067W,YNK1,YNK1,viable,New,"Nucleoside diphosphate kinase, responsible for synthesis of all nucleoside triphosphates except ATP ",3.934
mating,alpha factor,G1,YGL089C,mf(alpha)2,MF(ALPHA)2,viable,New,Mating pheromone alpha-2 factor ,3.969
"DNA repair, recombination",unknown,G1,YLR383W,RHC18,RHC18,undocumented,New,"Protein involved in recombination repair, homologous to S. pombe rad18",3.979
unknown,unknown,G1,YBL111C,YBL111C,YBL111C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.98
unknown,similar to other subtelomerically-coded proteins,G1,YLR464W,YLR464W,YLR464W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,3.986
unknown,unknown,M/G1,YLR194C,YLR194C,YLR194C,undocumented,New,novel,3.997
transcription,TFIID associated factor (TAF),G2/M,YCR042C,TSM1,TSM1,lethal,New,Component of TAF(II) complex (TBP-associated protein complex); required for activated transcription by RNA polymerase II; required for G2/M phase progression,4.022
DNA replication,MCM initiator complex,G2/M,YPR019W,CDC54,CDC54,lethal,New,aka MCM4; MCM proteins are components of the prereplication complex because association of MCM proteins with replication origins requires both Orc1p and Cdc6 function,4.048
unknown,similar to other subtelomerically-encoded proteins,G1,YLR467W,YLR467W,YLR467W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,4.062
unknown,similar to other subtelomerically-encoded proteins,G1,YEL076C,YEL076C,YEL076C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins ,4.076
unknown,unknown,G1,YOR114W,YOR114W,YOR114W,undocumented,New,novel,4.105
unknown,unknown,S,YJL118W,YJL118W,YJL118W,undocumented,New,novel,4.111
DNA replication,pre-initiation complex formation,M/G1,YJL194W,CDC6,CDC6,lethal,Known,"Protein that regulates initiation of DNA replication through binding to origins of replication at the end of mitosis, directing the assembly of MCM proteins and the pre-replication complex ",4.13
H+ homeostasis,plasma membrane H+-ATPase,G2/M,YGL008C,PMA1,PMA1,lethal,New,see PMA2,4.135
DNA replication,polymerase alpha binding protein,G1,YPR135W,POB1,CTF4,viable,New,"Protein required for DNA synthesis, binds polymerase alpha",4.14
unknown,similar to other subtelomerically-encoded proteins,G1,YEL075C,YEL075C,YEL075C,undocumented,New,"Protein with similarity to other subtelomerically-encoded proteins including Yhl049p, Yil177p, and Yjl225p ",4.2
secretion,unknown; suppresses ypt1 null,G1,YOR307C,SLY41,SLY41,viable,New,Protein involved in secretory pathway ,4.219
mitosis,spindle midzone component,G2/M,YOR058C,ASE1,ASE1,viable,Known,"Microtubule-associated protein localized to the spindle midzone, required for anaphase spindle elongation ",4.248
unknown,unknown,S/G2,YLL032C,YLL032C,YLL032C,undocumented,New,weak similarity to SCP160,4.251
mating,a-factor receptor,M/G1,YKL178C,STE3,STE3,undocumented,New,"Pheromone a-factor receptor, seven-transmembrane domain protein ",4.254
"bud site selection, bipolar",interacts with MAPKKs,G1,YLR313C,SPH1,SPH1,viable,New,Protein involved in schmoo formation and required for bipolar bud site selection; Spa2 homologue,4.271
DNA replication,MCM initiator complex,G2/M,YBL023C,MCM2,MCM2,lethal,New,Member of the MCM/P1 family that acts as a complex at ARS's to initiate replication ,4.274
"bud site selection, bipolar",unknown,G2/M,YLR353W,BUD8,BUD8,viable,New,"Protein required for bipolar budding, has an RNA recognition (RRM) domain ",4.286
bud emergence,binds Cdc42p,G1,YDR309C,GIC2,GIC2,viable,Known,"Putative effector of Cdc42p, important for bud emergence",4.287
DNA replication,polymerase epsilon 80 kDa subunit,G1,YPR175W,DPB2,DPB2,lethal,Known,DNA polymerase epsilon 80 kDa subunit,4.357
chromatin structure,interacts with histone acetyltransferase,G1,YLL022C,HIF1,HIF1,viable,New,aka HIF1; Hat1 Interacting Factor 1,4.368
methionine biosynthesis,sulfate adenylyltransferase,S/G2,YJR010W,MET3,MET3,viable,New,ATP-sulfurylase (sulfate adenylyltransferase),4.41
unknown,similar to other subtelomerically-encoded proteins,G1,YER190W,YER190W,YER190W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins including Yil177p ,4.419
unknown,unknown,G2/M,YLR297W,YLR297W,YLR297W,undocumented,New,Protein of unknown function ,4.424
cell cycle,negative regulator of swe1 kinase,G1,YKL101W,HSL1,HSL1,viable,Known,Serine/threonine protein kinase that interacts genetically with histone mutations ,4.447
"bud site selection, axial",unknown,G2/M,YJR092W,BUD4,BUD4,viable,New,required for bud site selection but not for default mating,4.456
unknown,unknown,G2/M,YHL026C,YHL026C,YHL026C,undocumented,New,"Protein of unknown function, has potential signal sequence and 2 potential transmembrane domains ",4.457
transcription (putative),forkhead family of DNA-binding proteins,G1,YCR065W,HCM1,HCM1,viable,New,Dosage-dependent suppressor of cmd1 and member of the forkhead family of DNA-binding proteins,4.464
unknown,similar to other subtelomerically-encoded proteins,G1,YFL064C,YFL064C,YFL064C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins; overlaps with other ORFs,4.465
unknown,unknown,G1,YLR462W,YLR462W,YLR462W,undocumented,New,Protein with similarity to other subtelomerically-encoded protein (YPL283 and YGR296W code for identical proteins),4.48
unknown,unknown,M/G1,YKL177W,YKL177W,YKL177W,undocumented,New,Protein of unknown function ,4.526
unknown,unknown,G1,YEL077C,YEL077C,YEL077C,undocumented,New,"Protein with similarity to subtelomerically-encoded proteins including Yil177p, Yhl049p, and Yjl225p ",4.545
unknown,similar to secretory protein Ssp134p,G2/M,YOR256C,YOR256C,YOR256C,undocumented,New,Protein with similarity to secretory protein Ssp134p ,4.576
membrane trafficking; secretion (putative),unknown,G1,YDL018C,YDL018C,ERP3,undocumented,New,Protein with similarity to Yal007p ,4.596
DNA replication,ribonucleotide reductase,G1,YER070W,RNR1,RNR1,lethal,Known,ribonucleotide reductase; regulated through a Mlu1 cell cycle box (MCB) element,4.6
pseudohyphal growth,trancriptional activator,M/G1,YBR083W,TEC1,TEC1,viable,Known,Transcriptional activator involved with STE12 in pseudohyphal formation ,4.634
cell cycle,negative regulator of Cdc28p,G1,YJL187C,SWE1,SWE1,viable,Known,Serine/tyrosine dual-specificity protein kinase able to phosphorylate Cdc28p on tyrosine and inhibit its activity,4.635
transport,hexose permease,M/G1,YMR011W,HXT2,HXT2,viable,New,"High-affinity hexose transporter, member of sugar permease family ",4.637
mitosis,unknown; binds Mps1p and Dbf2p,G2/M,YIL106W,MOB1,MOB1,lethal,Known,Mps one binder,4.663
chromatin structure,cohesin,G1,YJL074C,SMC3,SMC3,lethal,New,"Cohesin, coiled-coil protein of the SMC family involved in chromosome condensation and segregation",4.7
unknown,unknown,G1,YGR151C,YGR151C,YGR151C,undocumented,New,novel; questionable ORF,4.73
transport,cell surface ferroxidase,G2/M,YMR058W,FET3,FET3,viable,New,Cell surface ferroxidase required for high-affinity ferrous iron uptake ,4.742
unknown,unknown,S,YNR009W,YNR009W,YNR009W,undocumented,New,novel,4.744
unknown,"similar to Lag1p, has 6 potential transmembrane",S,YKL008C,YKL008C,YKL008C,undocumented,New,"Protein with similarity to Lag1p, has 6 potential transmembrane domains ",4.75
DNA replication,thymidylate synthase,G1,YOR074C,CDC21,CDC21,undocumented,Known,"Thymidylate synthase, converts dUMP to dTMP",4.771
DNA replication,pre-replicative complex subunit (putative),G1,YLR103C,CDC45,CDC45,lethal,Known,functions with ORC complex and MCM proteins in the initiation of DNA replication; promoter has two perfect MluI cell cycle (MCB) boxes,4.782
unknown,unknown,G1,YOL019W,YOL019W,YOL019W,undocumented,New,similarity to Rim9p and YFR012w,4.819
cell cycle,G1/S cyclin,G1,YPR120C,CLB5,CLB5,viable,Known,B-type cyclin involved in S-phase initiation,4.832
DNA repair,MutL homolog; mismatch repair,G1,YNL082W,PMS1,PMS1,undocumented,Known,"Protein required for mismatch repair, homologous to E. coli MutL ",4.843
unknown,similar to other subtelomerically-encoded proteins,G1,YHL049C,YHL049C,YHL049C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,4.874
methionine biosynthesis,O-acetylhomoserine sulfhydrylase,S/G2,YLR303W,MET17,MET17,viable,New,"O-acetylhomoserine sulfhydrylase (OAH SHLase), converts O-acetylhomoserine into homocysteine ",4.915
unknown,unknown,S,YLR455W,YLR455W,YLR455W,undocumented,New,weak similarity to human G/T mismatch binding protein,4.935
unknown,unknown,G1,YPL267W,YPL267W,YPL267W,undocumented,New,weak similarity to C.elegans transcription factor unc-86,4.936
unknown,unknown,G1,YOR308C,YOR308C,YOR308C,undocumented,New,Protein of unknown function ,4.945
unknown,unknown,G2/M,YNL057W,YNL057W,YNL057W,undocumented,New,novel; questionable ORF,4.955
unknown,similar to other subtelomerically-encoded proteins,G1,YHR218W,YHR218W,YHR218W,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,4.986
unknown,unknown,S/G2,YIL129C,YIL129C,YIL129C,undocumented,New,similarity to hypothetical human protein,5.001
staurosporine resistance,protein kinase,G1,YPR106W,ISR1,ISR1,undocumented,New,"Serine-threonine protein kinase, involved in staurosporine resistance ",5.016
unknown,unknown,S,YEL068C,YEL068C,YEL068C,viable,New,Protein of unknown function ,5.047
H+ homeostasis,regulates plasma membrane H+-ATPase,G2/M,YCR024C-A,PMP1,PMP1,viable,New,"Plasma membrane proteolipid, associated with Pma1p and affects plasma membrane H-ATPase activity",5.073
unknown,putative protein kinase,M/G1,YKL116C,YKL116C,YKL116C,undocumented,New,most similar to GIN4,5.073
unknown,unknown,S/G2,YMR003W,YMR003W,YMR003W,undocumented,New,novel,5.082
drug resistance,transporter,G2/M,YOR153W,PDR5,PDR5,viable,New,"Multidrug resistance protein of the ATP-binding cassette (ABC) superfamily, probable drug-efflux pump ",5.116
unknown,unknown,M/G1,YGR086C,YGR086C,YGR086C,undocumented,New,strong similarity to hypothetical protein YPL004c,5.144
unknown,unknown,M/G1,YBR157C,YBR157C,YBR157C,viable,New,Protein of unknown function ,5.145
membrane trafficking; secretion (putative),unknown,G1,YHR110W,YHR110W,ERP5,undocumented,New,related to component of the COPII coat of certain ER-derived vesicles,5.152
transcription,"shared subunit of RNA polymerases I, II, and III",G2/M,YOR229W,WTM2,WTM2,viable,New,Transcriptional modulator protein involved in meiotic regulation and silencing (GB:AF001451),5.155
bud emergence,binds Cdc42p,S,YHR061C,GIC1,GIC1,viable,New,"Putative effector of Cdc42p, important for bud emergence",5.193
unknown,unknown,G2/M,YCL012W,YCL012W,YCL012W,undocumented,New,Now considered part of Bud3,5.242
phosphate metabolism,secreted acid phosphatase,G2/M,YHR215W,PHO12,PHO12,viable,New,"Acid phosphatase, secreted (PHO11 and PHO12 code for nearly identical proteins)",5.297
unknown,similar to Mid2p,G1,YNL300W,YNL300W,YNL300W,undocumented,New,has 28% similarity to Mid2p over 71 amino acids,5.342
cell cycle,G1/S cyclin,G1,YMR199W,CLN1,CLN1,viable,Known,G1 cyclin,5.364
cell polarity,bud site selection,S/G2,YCL014W,BUD3,BUD3,viable,New,"Protein localized at the neck filament ring required for axial budding, may provide a memory of the previous bud site",5.369
DNA replication,polymerase epsilon catalytic subunit,G1,YNL262W,POL2,POL2,lethal,Known,DNA polymerase epsilon large subunit,5.436
unknown,major facilitator superfamily,G2/M,YLL028W,YLL028W,YLL028W,undocumented,New,Member of major facilitator superfamily (MFS) multidrug-resistance (MFS-MDR) protein family ,5.468
cell wall biosynthesis,myosin heavy chain,G2/M,YHR023W,MYO1,MYO1,viable,New,mutants probably fail in septation because Chs2p required for septum formation is not transported to the proper site,5.613
cell wall biogenesis,(1->6)-beta-glucan synthase subunit,G2/M,YGR143W,SKN1,SKN1,viable,New,"Glucan synthase subunit involved in synthesis of beta-1,6-glucan ",5.617
unknown,similar to Gas1p,S/G2,YMR215W,YMR215W,YMR215W,viable,New,has 43% identity over 241 amino acids with Gas1p ,5.652
DNA replication,MCM initiator complex,M/G1,YEL032W,MCM3,MCM3,lethal,New,Member of the MCM/P1 family that acts at ARS elements to initiate replication ,5.661
endocytosis (putative),suppresses rvs167 mutation,G2/M,YML052W,SUR7,SUR7,viable,New,Multicopy suppressor of rvs167 mutation ,5.674
unknown,similar to Ykr100p,G2/M,YIL158W,YIL158W,YIL158W,undocumented,New,questionable ORF,5.693
unknown,unknown,G1,YOL017W,YOL017W,YOL017W,undocumented,New,similarity to YFR013W,5.782
silencing (telomere),similar to nuclear lamins,M/G1,YDR191W,HST4,HST4,viable,New,Protein with similarity to Sir2p ,5.955
unknown,unknown,M/G1,YDL117W,YDL117W,YDL117W,undocumented,New,low similiarity to SRP40,5.967
bud site selection,"GTP-binding protein, ras superfamily",G1,YGR152C,RSR1,RSR1,viable,New,GTP-binding protein of the ras superfamily involved in bud site selection,5.978
transcription,CUP1 regulator,G2/M,YLR131C,ACE2,ACE2,viable,Known,has 37% identity overall to Swi5p ,5.996
cell wall protein,"beta-1,6-glucan acceptor",S/G2,YKL096W,CWP1,CWP1,viable,Known,"Mannoprotein of the cell wall, member of the PAU1 family",6.01
DNA repair and recombination,recombinase,G1,YER095W,RAD51,RAD51,viable,Known,"Protein required for recombination and repair of X-ray damage, required with Dmc1p to establish interhomolog connections at meiotic recombination nodules",6.028
fatty acid metabolism,acyl CoA synthase,M/G1,YIL009W,FAA3,FAA3,viable,New,"Acyl-CoA synthase (long-chain fatty acid CoA ligase), activates endogenous but not imported fatty acids ",6.035
DNA replication,polymerase alpha 58 kD subunit (DNA primase),G1,YKL045W,PRI2,PRI2,lethal,Known,"DNA polymerase alpha 58 kDa subunit, DNA primase (large subunit) involved in synthesis of RNA primers for Okazaki fragments",6.044
unknown,unknown,G1,YGR221C,YGR221C,YGR221C,undocumented,New,has similarity to YHR149C and FLO11,6.07
unknown,protein kinase,G2/M,YAR018C,KIN3,KIN3,viable,Known,similar to Pho85; null has no phenotype,6.09
unknown,unknown,G2/M,YJL051W,YJL051W,YJL051W,undocumented,New,novel,6.092
"cell cycle, checkpoint",protein kinase,G1,YPL153C,SPK1,RAD53,lethal,Known,Serine/threonine/tyrosine protein kinase with a checkpoint function in S and G2,6.135
transcription,anti-silencing protein,G1,YJL115W,ASF1,ASF1,undocumented,Known,Anti-silencing protein that causes depression of silent loci when overexpressed,6.176
transcription,transcriptional regulator,G1,YMR179W,SPT21,SPT21,viable,New,"required for transcription at HTA2-HTB2 and HHF2-HHT2, but not at the other two histone loci",6.183
ethanol utilization,acetaldehyde dehydrogenase,G2/M,YPL061W,ALD6,ALD6,undocumented,New,Cytosolic acetaldehyde dehydrogenase ,6.189
cell wall biogenesis,"alpha-1,4-glucan-glucosidase",S,YNL283C,WSC2,WSC2,viable,New,Protein required for maintenence of cell wall integrity and for the stress response; similar to WSC4,6.217
cell cycle,late mitosis; protein kinase,G2/M,YGR092W,DBF2,DBF2,viable,Known,"Serine/threonine protein kinase related to Dbf20p, required for events in anaphase/telophase",6.256
unknown,similar to plant PR-pathogen related proteins,G2/M,YJL079C,PRY1,PRY1,undocumented,New,Protein expressed under starvation conditions ,6.259
protein processing,GPI-anchored aspartic protease,G1,YLR121C,YPS4,YPS4,viable,New,"Yapsin 4, GPI-anchored aspartyl protease ",6.27
asparagine biosynthesis,asparagine synthetase,S/G2,YGR124W,ASN2,ASN2,viable,New,"Asparagine synthetase (L-aspartate: L-glutamine amidoligase [AMP-forming]), Asn1p and Asn2p are isozymes ",6.28
cell cycle,anaphase inhibitor (putative),G1,YDR113C,PDS1,PDS1,viable,New,Protein that may regulate sister chromatid separation in mitosis,6.298
cell cycle,G1/S cyclin,G1,YDL127W,PCL2,PCL2,viable,Known,"Cyclin, found partly in association with Pho85p ",6.332
unknown,unknown,G2/M,YML033W,YML033W,YML033W,undocumented,New,has weak similarity to Ydr458p ,6.421
mitosis,activator of the anaphase promoting complex,G2/M,YGL116W,CDC20,CDC20,lethal,Known,adaptor for APC,6.425
unknown,similar to plant PR-pathogen related proteins,G1,YJL078C,PRY3,PRY3,undocumented,New,has strong similarity to Pry1p and Pry2p ,6.46
cell cycle,Cdc28p kinase inhibitor,G2/M,YJL157C,FAR1,FAR1,viable,Known, Inhibitor of Cdc28p/Cln1p and Cdc28p/Cln2p complexes involved in cell cycle arrest for mating,6.488
"bud site selection, bipolar",unknown,G1,YGR041W,BUD9,BUD9,viable,New,required for bud site selection but not for default mating,6.509
"signaling, pheromone pathway",alpha subunit of G protein coupled to mating factor,M/G1,YHR005C,GPA1,GPA1,lethal,New,Guanine nucleotide-binding protein alpha subunit of the pheromone response pathway ,6.566
unknown,unknown,G1,YIL141W,YIL141W,YIL141W,undocumented,New,novel; questionable ORF,6.591
unknown,unknown,G2/M,YMR031C,YMR031C,YMR031C,undocumented,New,"similarity to YKL050c and human restin, has potential coiled-coil region (GB:Z49213)",6.658
unknown,unknown; EBNA1-binding protein homolog,G2/M,YKL172W,YKL172W,EBP2,undocumented,New,Protein of unknown function ,6.716
cell cycle,"transcription factor, regulates HO",G2/M,YDR146C,SWI5,SWI5,viable,Known,transcription factor for M/G1 regulated genes,6.726
DNA replication,MCM initiator complex,M/G1,YLR274W,CDC46,CDC46,lethal,Known,aka MCM5; MCM proteins are components of the prereplication complex because association of MCM proteins with replication origins requires both Orc1p and Cdc6 function,6.751
sporulation,unknown; similar to class II family of aminoacyl-tRNA synthetases,M/G1,YOR242C,YOR242C,SSP2,undocumented,New,Protein with similarity to class II family of aminoacyl-tRNA synthetases ,6.81
unknown,unknown,M/G1,YOR066W,YOR066W,YOR066W,undocumented,New,similar to YKR077W,6.828
unknown,unknown,G1,YKR077W,YKR077W,YKR077W,undocumented,New,related to YOR066W,6.829
DNA replication,"DNA polymerase alpha, 70 kD subunit",G1,YBL035C,POL12,POL12,lethal,Known,"DNA polymerase alpha 86 kDa subunit, B subunit of polymerase alpha-primase complex; promoter has Mlu1 cell cycle box (MCB) elements",6.918
vanadate resistance,unknown,G1,YPL163C,SVS1,SVS1,viable,New,Suppressor of Vanadate Sensitivity; similar to YOR247,6.967
unknown,similar to Herpesvirus saimiri EERF2,G1,YBR071W,YBR071W,YBR071W,undocumented,New,Protein with weak similarity to Herpesvirus saimiri EERF2,6.969
mannose metabolism,mannose-1-phosphate guanyltransferase,G1,YDL055C,PSA1,PSA1,lethal,Known,"Mannose-1-phosphate guanyltransferase, GDP-mannose pyrophosphorylase",6.98
unknown,unknown,G1,YKR012C,YKR012C,YKR012C,undocumented,New,novel; questionable ORF,6.98
unknown,unknown,G1,YCL022C,YCL022C,YCL022C,undocumented,New,now considered part of YCL024W (KCC4),7.009
meiosis,transcription factor,G1,YGR044C,RME1,RME1,viable,Known,regulator of meiosis; transcriptional activator of CLN2,7.011
cell cycle,B-type cyclin; S phase,G1,YGR109C,CLB6,CLB6,viable,Known,B-type cyclin involved in S-phase initiation,7.086
unknown,similar to members of the Sps2p-Ecm33p-Ycl048p,M/G1,YDR055W,YDR055W,PTS1,undocumented,New,"similar to ECM33, which is involved in cell wall metabolism in some manner",7.266
unknown,unknown,G2/M,YML034W,YML034W,YML034W,undocumented,New,has weak similarity to Ydr458p ,7.306
DNA repair (putative),DNA damage-responsive protein,G2/M,YGL021W,ALK1,ALK1,undocumented,New,DNA damage responsive protein; induced by mating pheromones,7.36
unknown,unknown,M/G1,YNL078W,YNL078W,YNL078W,undocumented,New,has 5 potential transmembrane domains,7.368
cell cycle,Cdc28p-Clb5 protein kinase inhibitor,M/G1,YLR079W,SIC1,SIC1,viable,Known,Clb kinase inhibitor,7.374
unknown,major facilitator superfamily,G2/M,YPR156C,YPR156C,YPR156C,undocumented,New,"Member of major facilitator superfamily (MFS) multidrug-resistance proteins family 1, most similar to YGR138C",7.421
unknown,unknown,M/G1,YGL055W,OLE1,OLE1,viable,New,"Stearoyl-CoA desaturase (delta-9 fatty acid desaturase), required for synthesis of unsaturated fatty acids ",7.478
DNA repair,repair-induced ribonucleotide reductase,G1,YIL066C,RNR3,RNR3,viable,New,Ribonucleotide reductase; transcription is tightly cell cycle regulated and moderately inducible by DNA damage,7.525
protein glycosylation,"alpha-1,3-mannosyltransferase",G1,YER001W,MNN1,MNN1,viable,Known,"Alpha-1,3-mannosyltransferase, required for complex glycosylation of both N- and O-oligosaccharides",7.599
unknown,required for optimal growth,M/G1,YBR158W,YBR158W,YBR158W,viable,New,leucine repeat motif has similarity to that of Grr1p; null mutant cells have slow growth and reduced germination rate,7.599
chromatin structure,histone H4,S,YBR009C,HHF1,HHF1,viable,Known,Histone H4 (HHF1 and HHF2 code for identical proteins),7.635
unknown,binds leu-tRNA gene,G1,YML027W,YOX1,YOX1,viable,New,Homeodomain protein that binds leu-tRNA gene,7.835
unknown,unknown,G1,YER124C,YER124C,YER124C,viable,New,Protein of unknown function ,7.869
unknown,unknown,S/G2,YML058W,YML058W,SML1,viable,New,Suppressor of mec lethality,7.896
unknown,unknown,M/G1,YPL158C,YPL158C,YPL158C,undocumented,New,weak similarity to human nucleolin,7.995
phosphate metabolism,secreted acid phosphatase,G2/M,YAR071W,PHO11,PHO11,viable,New,acid phosphatase,8.047
chromatin structure,histone H3,S,YNL031C,HHT2,HHT2,viable,Known,Histone H3 (HHT1 and HHT2 code for identical proteins),8.063
DNA repair,MutS homolog; mismatch repair,G1,YOL090W,MSH2,MSH2,viable,Known,"Component with Msh3p and Msh6p of DNA mismatch binding factor, involved in repair of single base mismatches and short insertions/deletions",8.095
unknown,protein kinase,G1,YCL024W,YCL024W,YCL024W,undocumented,New,aka KCC4; close homologue of GIN4,8.194
unknown,unknown,G1,YGR189C,YGR189C,YGR189C,viable,New,similarity to Utr2p,8.29
unknown,unknown,G2/M,YML119W,YML119W,YML119W,undocumented,New,"low similarity to MSS1, a protein involved in starch metabolism",8.303
DNA replication,"replication factor A, 69 kD subunit",G1,YAR007C,RFA1,RFA1,lethal,Known,DNA replication Factor A; promoter has Mlu1 cell cycle box (MCB) elements,8.339
silencing,unknown,G2/M,YOR025W,HST3,HST3,viable,New,has 54% identity to Sir2p over 37 amino acids; null mutant has silencing defect,8.396
chromatin structure,histone H2B,S,YBL002W,HTB2,HTB2,viable,Known,Histone H2B (HTB1 and HTB2 code for nearly identical proteins),8.477
chromatin structure,histone H1,S,YPL127C,HHO1,HHO1,viable,New,Histone H1,8.513
unknown,unknown,M/G1,YNR067C,YNR067C,YNR067C,undocumented,New,"similar to AFC2/YLR144c, which is involved in polarized cortical actin assembly",8.576
unknown,unknown,G1,YLR049C,YLR049C,YLR049C,viable,New,novel,8.653
cell cycle,G2/M cyclin,G2/M,YGR108W,CLB1,CLB1,viable,Known,B-type cyclin,8.779
DNA repair,MutS homolog; mismatch repair,G1,YDR097C,MSH6,MSH6,viable,Known,"Component with Msh2p of DNA mismatch binding factor, involved in repair of single base mismatches",8.874
"secretion, non-classical",unknown,G2/M,YPR149W,NCE102,NCE102,undocumented,New,negative regulator of CTS1 expression,8.962
unknown,unknown,G1,YBR089W,YBR089W,YBR089W,undocumented,New,novel; questionable ORF,9.285
unknown,unknown,G1,YHR143W,RPC10,YHR143W,lethal,New,"Shared subunit of RNA polymerases I, II, and III (ABC10alpha), has zinc-binding domain ",9.329
diauxic shift,unknown; response to nutrient limitation,M/G1,YNL160W,YGP1,YGP1,undocumented,New,Secreted glycoprotein produced in response to nutrient limitation ,9.334
unknown,unknown,G2/M,YNL058C,YNL058C,YNL058C,undocumented,New,has similarity to Yil117p ,9.392
chromatin structure,histone H3,S,YBR010W,HHT1,HHT1,viable,Known,Histone H3 (HHT1 and HHT2 code for identical proteins),9.399
DNA replication,MCM initiator complex,G2/M,YBR202W,CDC47,CDC47,lethal,Known,MCM7; MCM proteins are components of the prereplication complex because association of MCM proteins with replication origins requires both Orc1p and Cdc6 function,9.591
cell wall biogenesis,chitin synthase II,G2/M,YBR038W,CHS2,CHS2,viable,New,Chitin synthase II,9.593
"mitosis, sister chromatid cohesion",unknown,G1,YDL003W,MCD1,MCD1,lethal,Known,"aka RHC21; Cohesin, protein required for mitotic chromatid cohesion",9.61
"bud site selection, axial",plasma membrane protein,G1,YIL140W,SRO4,SRO4,viable,New,"aka AXL2/BUD10; Membrane glycoprotein localized at site of bud emergence, required for axial budding",9.661
chromatin structure,histone H4,S,YNL030W,HHF2,HHF2,viable,Known,Histone H4 (HHF1 and HHF2 code for identical proteins),9.744
unknown,similar to plant PR-pathogen related proteins,G1,YKR013W,PRY2,PRY2,undocumented,New,expressed under starvation conditions,9.805
