"initial_alias","converted_alias","name","description","namespace"
"YPL145C","YPL145C","KES1","One of seven members of the yeast oxysterol binding protein family; involved in negative regulation of Sec14p-dependent Golgi complex secretory functions, peripheral membrane protein that localizes to the Golgi complex; KES1 has a paralog, HES1, that arose from the whole genome duplication [Source:SGD;Acc:S000006066]","ENSG,ENSP"
"YPL146C","YPL146C","NOP53","Nucleolar protein; involved in biogenesis of the 60S subunit of the ribosome; interacts with rRNA processing factors Cbf5p and Nop2p and with the nucleolar proteins Nop17p and Nip7p; null mutant is viable but growth is severely impaired [Source:SGD;Acc:S000006067]","ENSG,ENSP"
"YPL148C","YPL148C","PPT2","Phosphopantetheine:protein transferase (PPTase); activates mitochondrial acyl carrier protein (Acp1p) by phosphopantetheinylation [Source:SGD;Acc:S000006069]","ENSG,ENSP"
"YPL149W","YPL149W","ATG5","Conserved protein involved in autophagy and the Cvt pathway; undergoes conjugation with Atg12p to form a complex involved in Atg8p lipidation; Atg5p-Atg12p conjugate enhances E2 activity of Atg3 by rearranging its catalytic site, also forms a complex with Atg16p; the Atg5-Atg12/Atg16 complex binds to membranes and is essential for autophagosome formation; also involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner [Source:SGD;Acc:S000006070]","ENSG,ENSP"
"YPL151C","YPL151C","PRP46","Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs [Source:SGD;Acc:S000006072]","ENSG,ENSP"
"YPL153C","YPL153C","RAD53","DNA damage response protein kinase; required for cell-cycle arrest, regulation of copper genes in response to DNA damage; phosphorylates nuclear pores to counteract gene gating, preventing aberrant transitions at forks approaching transcribed genes; activates downstream kinase Dun1p; differentially senses mtDNA depletion, mitochondrial ROS; relocalizes to cytosol under hypoxia; human homolog CHEK2 implicated in breast cancer can complement yeast null mutant [Source:SGD;Acc:S000006074]","ENSG,ENSP"
"YPL155C","YPL155C","KIP2","Kinesin-related motor protein involved in mitotic spindle positioning; stabilizes microtubules by targeting Bik1p to the plus end; functions as a microtubule polymerase and catastrophe inhibitor in vitro; Kip2p levels are controlled during the cell cycle [Source:SGD;Acc:S000006076]","ENSG,ENSP"
"YPL156C","YPL156C","PRM4","Pheromone-regulated protein proposed to be involved in mating; predicted to have 1 transmembrane segment; transcriptionally regulated by Ste12p during mating and by Cat8p during the diauxic shift [Source:SGD;Acc:S000006077]","ENSG,ENSP"
"YPL158C","YPL158C","AIM44","Protein that regulates Cdc42p and Rho1p; functions in the late steps of cytokinesis and cell separation; sustains Rho1p at the cell division site after actomyosin ring contraction; inhibits the activation of Cdc42-Cla4 at the cell division site to prevent budding inside the old bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss; relocalizes from bud neck to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000006079]","ENSG,ENSP"
"YPL159C","YPL159C","PET20","Mitochondrial protein; required for respiratory growth under some conditions and for stability of the mitochondrial genome [Source:SGD;Acc:S000006080]","ENSG,ENSP"
"YPL161C","YPL161C","BEM4","Protein involved in establishment of cell polarity and bud emergence; interacts with the Rho1p small GTP-binding protein and with the Rho-type GTPase Cdc42p; involved in maintenance of proper telomere length [Source:SGD;Acc:S000006082]","ENSG,ENSP"
"YPL162C","YPL162C","YPL162C","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of vacuole with cell cycle-correlated morphology [Source:SGD;Acc:S000006083]","ENSG,ENSP"
"YPL163C","YPL163C","SVS1","Cell wall and vacuolar protein; required for wild-type resistance to vanadate; SVS1 has a paralog, SRL1, that arose from the whole genome duplication [Source:SGD;Acc:S000006084]","ENSG,ENSP"
"YPL164C","YPL164C","MLH3","Protein involved in DNA mismatch repair and meiotic recombination; involved in crossing-over during meiotic recombination; forms a complex with Mlh1p; mammalian homolog is implicated mammalian microsatellite instability [Source:SGD;Acc:S000006085]","ENSG,ENSP"
"YPL165C","YPL165C","SET6","SET domain protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability [Source:SGD;Acc:S000006086]","ENSG,ENSP"
"YPL167C","YPL167C","REV3","Catalytic subunit of DNA polymerase zeta; involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair; forms a complex with Rev7p, Pol31p and Pol32p [Source:SGD;Acc:S000006088]","ENSG,ENSP"
"YPL169C","YPL169C","MEX67","Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP [Source:SGD;Acc:S000006090]","ENSG,ENSP"
"YPL174C","YPL174C","NIP100","Large subunit of the dynactin complex; dynactin is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued) [Source:SGD;Acc:S000006095]","ENSG,ENSP"
"YPL176C","YPL176C","TRE1","Transferrin receptor-like protein; plasma membrane protein that binds Bsd2p and regulates ubiquitination and vacuolar degradation of the metal transporter Smf1p; functionally redundant with Tre2p; TRE1 has a paralog, TRE2, that arose from the whole genome duplication [Source:SGD;Acc:S000006097]","ENSG,ENSP"
"YPL177C","YPL177C","CUP9","Homeodomain-containing transcriptional repressor; regulates expression of PTR2, which encodes a major peptide transporter; imported peptides activate ubiquitin-dependent proteolysis, resulting in degradation of Cup9p and de-repression of PTR2 transcription; CUP9 has a paralog, TOS8, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000006098]","ENSG,ENSP"
"YPL178W","YPL178W","CBC2","Small subunit of the heterodimeric cap binding complex with Sto1p; interacts with Npl3p, possibly to package mRNA for export from the nucleus; may have a role in telomere maintenance; contains an RNA-binding motif [Source:SGD;Acc:S000006099]","ENSG,ENSP"
"YPL179W","YPL179W","PPQ1","Protein phosphatase that regulates the mating response; negatively regulates the MAP kinase signaling cascade during mating; member of the serine/threonine phosphatase PP1 family [Source:SGD;Acc:S000006100]","ENSG,ENSP"
"YPL182C","YPL182C","YPL182C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CTI6/YPL181W [Source:SGD;Acc:S000006103]","ENSG,ENSP"
"YPL183C","YPL183C","RTT10","WD40 domain-containing protein involved in endosomal recycling; forms a complex with Rrt2p that functions in the retromer-mediated pathway for recycling internalized cell-surface proteins; interacts with Trm7p for 2'-O-methylation of N34 of substrate tRNAs; has a role in regulation of Ty1 transposition; human ortholog is WDR6 [Source:SGD;Acc:S000006104]","ENSG,ENSP"
"YPL184C","YPL184C","MRN1","RNA-binding protein that may be involved in translational regulation; binds specific categories of mRNAs, including those that contain upstream open reading frames (uORFs) and internal ribosome entry sites (IRES); interacts genetically with chromatin remodelers and splicing factors, linking chromatin state, splicing and as a result mRNA maturation [Source:SGD;Acc:S000006105]","ENSG,ENSP"
"YPL185W","YPL185W","YPL185W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene UIP4/YPL186C [Source:SGD;Acc:S000006106]","ENSG,ENSP"
"YPL186C","YPL186C","UIP4","Protein that interacts with Ulp1p; a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope [Source:SGD;Acc:S000006107]","ENSG,ENSP"
"YPL188W","YPL188W","POS5","Mitochondrial NADH kinase; phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress [Source:SGD;Acc:S000006109]","ENSG,ENSP"
"YPL190C","YPL190C","NAB3","RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; required for termination of non-poly(A) transcripts and efficient splicing; Nrd1-Nab3 pathway appears to have a role in rapid suppression of some genes when cells are shifted to poor growth conditions, indicating role for Nrd1-Nab3 in regulating cellular response to nutrient availability [Source:SGD;Acc:S000006111]","ENSG,ENSP"
"YPL191C","YPL191C","YPL191C","Protein of unknown function; diploid deletion strain exhibits high budding index; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL191C has a paralog, YGL082W, that arose from the whole genome duplication [Source:SGD;Acc:S000006112]","ENSG,ENSP"
"YPL192C","YPL192C","PRM3","Protein required for nuclear envelope fusion during karyogamy; pheromone-regulated; peripheral protein of the nuclear membrane; interacts with Kar5p at the spindle pole body [Source:SGD;Acc:S000006113]","ENSG,ENSP"
"YPL193W","YPL193W","RSA1","Protein involved in the assembly of 60S ribosomal subunits; functionally interacts with Dbp6p; functions in a late nucleoplasmic step of the assembly [Source:SGD;Acc:S000006114]","ENSG,ENSP"
"YPL194W","YPL194W","DDC1","DNA damage checkpoint protein; part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate; forms nuclear foci upon DNA replication stress [Source:SGD;Acc:S000006115]","ENSG,ENSP"
"YPL195W","YPL195W","APL5","Delta adaptin-like subunit of the clathrin associated protein complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; suppressor of loss of casein kinase 1 function; the clathrin associated protein complex is also known as AP-3 [Source:SGD;Acc:S000006116]","ENSG,ENSP"
"YPL197C","YPL197C","YPL197C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the ribosomal gene RPL7B [Source:SGD;Acc:S000006118]","ENSG,ENSP"
"YPL198W","YPL198W","RPL7B","Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication [Source:SGD;Acc:S000006119]","ENSG,ENSP"
"YPL199C","YPL199C","YPL199C","Putative protein of unknown function; predicted to be palmitoylated [Source:SGD;Acc:S000006120]","ENSG,ENSP"
"YPL201C","YPL201C","YIG1","Protein that interacts with glycerol 3-phosphatase; plays a role in anaerobic glycerol production; localizes to the nucleus and cytosol [Source:SGD;Acc:S000006122]","ENSG,ENSP"
"YPL202C","YPL202C","AFT2","Iron-regulated transcriptional activator; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress; AFT2 has a paralog, AFT1, that arose from the whole genome duplication [Source:SGD;Acc:S000006123]","ENSG,ENSP"
"YPL206C","YPL206C","PGC1","Phosphatidylglycerol phospholipase C; regulates phosphatidylglycerol (PG) accumulation via a phospholipase C-type degradation mechanism; PG levels affect mitochondrial function; contains glycerophosphodiester phosphodiesterase motifs [Source:SGD;Acc:S000006127]","ENSG,ENSP"
"YPL207W","YPL207W","TYW1","Iron-sulfer protein required for synthesis of Wybutosine modified tRNA; Wybutosine is a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions; induction by Yap5p in response to iron provides protection from high iron toxicity; overexpression results in increased cellular iron [Source:SGD;Acc:S000006128]","ENSG,ENSP"
"YPL209C","YPL209C","IPL1","Aurora kinase of chromosomal passenger complex; mediates release of mono-oriented kinetochores from microtubules in meiosis I, and kinetochore release from SPB clusters at meiotic exit; helps maintain condensed chromosomes during anaphase; required for SPB cohesion and prevention of multipolar spindle formation; promotes telomerase release at G2/M; Iocalizes to nuclear foci that diffuse upon DNA replication stress; required for inhibition of karyopherin Pse1p upon SAC arrest [Source:SGD;Acc:S000006130]","ENSG,ENSP"
"YPL210C","YPL210C","SRP72","Core component of the signal recognition particle (SRP); the SRP is a ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane [Source:SGD;Acc:S000006131]","ENSG,ENSP"
"YPL212C","YPL212C","PUS1","tRNA:pseudouridine synthase; introduces pseudouridines at positions 26-28, 34-36, 65, and 67 of tRNA; also acts on U2 snRNA; also pseudouridylates some mRNAs, and pseudouridylation level varies with growth phase; nuclear protein that appears to be involved in tRNA export; PUS1 has a paralog, PUS2, that arose from the whole genome duplication [Source:SGD;Acc:S000006133]","ENSG,ENSP"
"YPL214C","YPL214C","THI6","Thiamine-phosphate diphosphorylase and hydroxyethylthiazole kinase; required for thiamine biosynthesis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern [Source:SGD;Acc:S000006135]","ENSG,ENSP"
"YPL215W","YPL215W","CBP3","Mitochondrial protein required for assembly of cytochrome bc1 complex; forms a complex with Cbp6p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex; Cbp3p-Cbp6p complex is sequestered if assembly of Complex III is blocked, downregulating COB mRNA translation [Source:SGD;Acc:S000006136]","ENSG,ENSP"
"YPL217C","YPL217C","BMS1","GTPase required for ribosomal subunit synthesis and rRNA processing; required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p [Source:SGD;Acc:S000006138]","ENSG,ENSP"
"YPL218W","YPL218W","SAR1","ARF family GTPase; component of the COPII vesicle coat; required for transport vesicle formation during ER to Golgi protein transport; lowers membrane rigidity aiding vesicle formation; localizes to ER-mitochondrial contact sites where it enhances membrane curvature, thereby reducing contact size via its N-terminal amphipathic helix; regulates mitochondrial fission and fusion dynamics [Source:SGD;Acc:S000006139]","ENSG,ENSP"
"YPL219W","YPL219W","PCL8","Cyclin; interacts with Pho85p cyclin-dependent kinase (Cdk) to phosphorylate and regulate glycogen synthase, also activates Pho85p for Glc8p phosphorylation; PCL8 has a paralog, PCL10, that arose from the whole genome duplication [Source:SGD;Acc:S000006140]","ENSG,ENSP"
"YPL220W","YPL220W","RPL1A","Ribosomal 60S subunit protein L1A; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1A has a paralog, RPL1B, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal [Source:SGD;Acc:S000006141]","ENSG,ENSP"
"YPL221W","YPL221W","FLC1","Flavin adenine dinucleotide transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC1 has a paralog, FLC3, that arose from the whole genome duplication [Source:SGD;Acc:S000006142]","ENSG,ENSP"
"YPL223C","YPL223C","GRE1","Hydrophilin essential in desiccation-rehydration process; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; GRE1 has a paralog, SIP18, that arose from the whole genome duplication [Source:SGD;Acc:S000006144]","ENSG,ENSP"
"YPL224C","YPL224C","MMT2","Putative metal transporter involved in mitochondrial iron accumulation; MMT2 has a paralog, MMT1, that arose from the whole genome duplication [Source:SGD;Acc:S000006145]","ENSG,ENSP"
"YPL225W","YPL225W","YPL225W","Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000006146]","ENSG,ENSP"
"YPL227C","YPL227C","ALG5","UDP-glucose:dolichyl-phosphate glucosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum; human ortholog ALG5 can partially complement yeast alg5 mutant [Source:SGD;Acc:S000006148]","ENSG,ENSP"
"YPL229W","YPL229W","YPL229W","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; not an essential gene; YPL229W has a paralog, YMR181C, that arose from the whole genome duplication [Source:SGD;Acc:S000006150]","ENSG,ENSP"
"YPL230W","YPL230W","USV1","Putative transcription factor containing a C2H2 zinc finger; mutation affects transcriptional regulation of genes involved in growth on non-fermentable carbon sources, response to salt stress and cell wall biosynthesis; USV1 has a paralog, RGM1, that arose from the whole genome duplication [Source:SGD;Acc:S000006151]","ENSG,ENSP"
"YPL231W","YPL231W","FAS2","Alpha subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities [Source:SGD;Acc:S000006152]","ENSG,ENSP"
"YPL232W","YPL232W","SSO1","Plasma membrane t-SNARE; involved in fusion of secretory vesicles at the plasma membrane and in vesicle fusion during sporulation; forms a complex with Sec9p that binds v-SNARE Snc2p; syntaxin homolog; functionally redundant with Sso2p; SSO1 has a paralog, SSO2, that arose from the whole genome duplication [Source:SGD;Acc:S000006153]","ENSG,ENSP"
"YPL234C","YPL234C","VMA11","Vacuolar ATPase V0 domain subunit c'; involved in proton transport activity; hydrophobic integral membrane protein (proteolipid) containing four transmembrane segments; N and C termini are in the vacuolar lumen [Source:SGD;Acc:S000006155]","ENSG,ENSP"
"YPL237W","YPL237W","SUI3","Beta subunit of the translation initiation factor eIF2; involved in the identification of the start codon; proposed to be involved in mRNA binding [Source:SGD;Acc:S000006158]","ENSG,ENSP"
"YPL238C","YPL238C","YPL238C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps 5' end of the verified essential gene SUI3/YPL237W [Source:SGD;Acc:S000006159]","ENSG,ENSP"
"YPL242C","YPL242C","IQG1","Essential protein required for determination of budding pattern; promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p, localizes to the contractile ring during anaphase, member of the IQGAP family; relocalizes from bud neck to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000006163]","ENSG,ENSP"
"YPL244C","YPL244C","HUT1","Protein with a role in UDP-galactose transport to the Golgi lumen; has similarity to human UDP-galactose transporter UGTrel1, exhibits a genetic interaction with S. cerevisiae ERO1 [Source:SGD;Acc:S000006165]","ENSG,ENSP"
"YPL246C","YPL246C","RBD2","Possible rhomboid protease; has similarity to eukaryotic rhomboid proteases including Pcp1p [Source:SGD;Acc:S000006167]","ENSG,ENSP"
"YPL247C","YPL247C","YPL247C","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; similar to the petunia WD repeat protein an11; overexpression causes a cell cycle delay or arrest [Source:SGD;Acc:S000006168]","ENSG,ENSP"
"YPL248C","YPL248C","GAL4","DNA-binding transcription factor required for activating GAL genes; responds to galactose; repressed by Gal80p and activated by Gal3p [Source:SGD;Acc:S000006169]","ENSG,ENSP"
"YPL249C","YPL249C","GYP5","GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication [Source:SGD;Acc:S000006170]","ENSG,ENSP"
"YPL249C-A","YPL249C-A","RPL36B","Ribosomal 60S subunit protein L36B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36B has a paralog, RPL36A, that arose from the whole genome duplication [Source:SGD;Acc:S000006438]","ENSG,ENSP"
"YPL250C","YPL250C","ATG41","Protein of unknown function; required for selective and nonselective autophagy, and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p, and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog, ICY1, that arose from the whole genome duplication [Source:SGD;Acc:S000006171]","ENSG,ENSP"
"YPL252C","YPL252C","YAH1","Ferredoxin of the mitochondrial matrix; required for formation of cellular iron-sulfur proteins; involved in heme A biosynthesis; human homolog FDX1L can complement yeast by allowing growth during down-regulation of yeast YAH1 [Source:SGD;Acc:S000006173]","ENSG,ENSP"
"YPL253C","YPL253C","VIK1","Protein that forms a kinesin-14 heterodimeric motor with Kar3p; localizes Kar3p at mitotic spindle poles; has a structure similar to a kinesin motor domain but lacks an ATP-binding site and is catalytically inactive; binds microtubules; required for sister chromatid cohesion; VIK1 has a paralog, CIK1, that arose from the whole genome duplication [Source:SGD;Acc:S000006174]","ENSG,ENSP"
"YPL254W","YPL254W","HFI1","Adaptor protein required for structural integrity of the SAGA complex; a histone acetyltransferase-coactivator complex that is involved in global regulation of gene expression through acetylation and transcription functions [Source:SGD;Acc:S000006175]","ENSG,ENSP"
"YPL256C","YPL256C","CLN2","G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p); CLN2 has a paralog, CLN1, that arose from the whole genome duplication; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1 [Source:SGD;Acc:S000006177]","ENSG,ENSP"
"YPL257W","YPL257W","YPL257W","Putative protein of unknown function; homozygous diploid deletion strain exhibits low budding index; physically interacts with Hsp82p; YPL257W is not an essential gene [Source:SGD;Acc:S000006178]","ENSG,ENSP"
"YPL259C","YPL259C","APM1","Mu1-like medium subunit of the AP-1 complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting; the AP-1 complex is the clathrin-associated protein complex [Source:SGD;Acc:S000006180]","ENSG,ENSP"
"YPL260W","YPL260W","CUB1","Conserved fungal gene linked to DNA repair and proteasome function; putative substrate of cAMP-dependent protein kinase (PKA); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YPL260W is not an essential gene; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000006181]","ENSG,ENSP"
"YPL261C","YPL261C","YPL261C","Putative protein of unknown function; conserved among S. cerevisiae strains; YPL261C is not an essential gene; partially overlaps verified ORF YPL260W [Source:SGD;Acc:S000006182]","ENSG,ENSP"
"YPL263C","YPL263C","KEL3","Cytoplasmic protein of unknown function [Source:SGD;Acc:S000006184]","ENSG,ENSP"
"YPL264C","YPL264C","YPL264C","Putative membrane protein of unknown function; physically interacts with Hsp82p; YPL264C is not an essential gene [Source:SGD;Acc:S000006185]","ENSG,ENSP"
"YPL265W","YPL265W","DIP5","Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress [Source:SGD;Acc:S000006186]","ENSG,ENSP"
"YPL266W","YPL266W","DIM1","Essential 18S rRNA dimethylase (dimethyladenosine transferase); responsible for conserved m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18S rRNA, part of 90S and 40S pre-particles in nucleolus, involved in pre-ribosomal RNA processing; human homolog DIMT1 complements yeast dim1 mutant [Source:SGD;Acc:S000006187]","ENSG,ENSP"
"YPL267W","YPL267W","ACM1","Pseudosubstrate inhibitor of the APC/C; suppresses APC/C [Cdh1]-mediated proteolysis of mitotic cyclins; associates with Cdh1p, Bmh1p and Bmh2p; cell cycle regulated protein; the anaphase-promoting complex/cyclosome is also known as APC/C [Source:SGD;Acc:S000006188]","ENSG,ENSP"
"YPL268W","YPL268W","PLC1","Phospholipase C; hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes; Plc1p and inositol polyphosphates are required for acetyl-CoA homeostasis which regulates global histone acetylation [Source:SGD;Acc:S000006189]","ENSG,ENSP"
"YPL271W","YPL271W","ATP15","Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated [Source:SGD;Acc:S000006192]","ENSG,ENSP"
"YPL272C","YPL272C","PBI1","Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene [Source:SGD;Acc:S000006193]","ENSG,ENSP"
"YPL274W","YPL274W","SAM3","High-affinity S-adenosylmethionine permease; required for utilization of S-adenosylmethionine as a sulfur source; has similarity to S-methylmethionine permease Mmp1p [Source:SGD;Acc:S000006195]","ENSG,ENSP"
"YPL278C","YPL278C","YPL278C","Putative protein of unknown function; gene expression regulated by copper levels [Source:SGD;Acc:S000006199]","ENSG,ENSP"
"YPL279C","YPL279C","FEX2","Protein involved in fluoride export; nearly identical to FEX1, and deletion of both proteins results in a large increase in fluoride sensitivity compared with the single mutant; contains two FEX domains connected by a linker; part of a widespread family of conserved fluoride export proteins [Source:SGD;Acc:S000006200]","ENSG,ENSP"
"YPR001W","YPR001W","CIT3","Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate [Source:SGD;Acc:S000006205]","ENSG,ENSP"
"YPR002C-A","YPR002C-A","YPR002C-A","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the Ty1 long terminal repeat, YPRWdelta12 [Source:SGD;Acc:S000007254]","ENSG,ENSP"
"YPR002W","YPR002W","PDH1","Putative 2-methylcitrate dehydratase; mitochondrial protein that participates in respiration; induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate [Source:SGD;Acc:S000006206]","ENSG,ENSP"
"YPR003C","YPR003C","YPR003C","Putative sulfate permease; physically interacts with Hsp82p; green fluorescent protein (GFP)-fusion protein localizes to the ER; YPR003C is not an essential gene [Source:SGD;Acc:S000006207]","ENSG,ENSP"
"YPR006C","YPR006C","ICL2","2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol [Source:SGD;Acc:S000006210]","ENSG,ENSP"
"YPR007C","YPR007C","REC8","Meiosis-specific component of the sister chromatid cohesion complex; alpha-kleisin family member that maintains cohesion between sister chromatids during meiosis I; maintains cohesion between centromeres of sister chromatids until meiosis II; independent of its role in sister chromatid cohesion, Rec8p promotes allelic collisions and prevents nonspecific chromosome interactions; homolog of S. pombe Rec8p [Source:SGD;Acc:S000006211]","ENSG,ENSP"
"YPR008W","YPR008W","HAA1","Transcriptional activator involved in adaptation to weak acid stress; activates transcription of TPO2, YRO2, and other genes encoding membrane stress proteins; HAA1 has a paralog, CUP2, that arose from the whole genome duplication; relocalizes from cytoplasm to nucleus upon DNA replication stress [Source:SGD;Acc:S000006212]","ENSG,ENSP"
"YPR009W","YPR009W","SUT2","Zn2Cys6 family transcription factor; positively regulates sterol uptake under anaerobic conditions with SUT1; represses filamentation-inducing genes during non-starvation conditions; positively regulates mating along with SUT1 by repressing the expression of genes (PRR2, NCE102 and RHO5) which function as mating inhibitors; multicopy suppressor of mutations that cause low activity of the cAMP/PKA pathway; SUT2 has a paralog, SUT1, that arose from the whole genome duplication [Source:SGD;Acc:S000006213]","ENSG,ENSP"
"YPR010C","YPR010C","RPA135","RNA polymerase I second largest subunit A135 [Source:SGD;Acc:S000006214]","ENSG,ENSP"
"YPR012W","YPR012W","YPR012W","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YPR012W is not an essential gene [Source:SGD;Acc:S000006216]","ENSG,ENSP"
"YPR013C","YPR013C","CMR3","Putative zinc finger protein; YPR013C is not an essential gene [Source:SGD;Acc:S000006217]","ENSG,ENSP"
"YPR016C","YPR016C","TIF6","Constituent of 66S pre-ribosomal particles; has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits [Source:SGD;Acc:S000006220]","ENSG,ENSP"
